ProcedureCode,TotalProc
24546,13
24560,34
24565,70
24566,4
24575,13
24576,42
24577,39
24579,19
24582,8
24586,26
24587,2
24600,1817
24605,357
24615,4
24620,186
24635,17
24640,6064
24650,139
24655,272
24665,10
24666,2
24670,93
24675,161
24685,50
24999,87
25000,1
25020,3
25023,1
25028,10
25073,1
25075,1
25101,6
25111,1
25115,1
25116,1
25125,2
25151,1
25246,1
25248,8
25259,4
25260,39
25263,1
25270,32
25272,1
25275,1
25295,1
25320,6
25332,1
25350,1
25360,3
25400,11
25405,4
25415,11
25420,1
25441,1
25447,1
25449,1
25491,1
25500,60
25505,502
25515,16
25520,70
25525,4
25526,4
25530,37
25535,177
25545,26
25560,119
25565,2295
25574,5
25575,44
25600,916
25605,14798
25606,67
25607,75
25608,59
25609,94
25622,35
25624,31
25628,16
25630,33
25635,34
25645,2
25650,80
25651,10
25652,35
25660,40
25670,4
25671,1
25675,284
25676,2
25680,163
25685,2
25690,42
25695,3
25800,1
25810,1
25999,7
26010,3666
26011,275
26020,25
26030,1
26037,1
26055,12
26070,2
26075,9
26080,20
26111,2
26116,1
26125,1
26135,1
26140,3
26145,4
26160,1
26230,1
26235,4
26236,93
26320,10
26340,5
26350,67
26352,1
26356,37
26357,3
26370,17
26410,48
26418,236
26426,5
26432,2
26433,2
26440,2
26442,4
26445,10
26450,1
26455,4
26471,3
26498,1
26500,2
26516,1
26525,1
26530,1
26535,1
26540,18
26545,4
26546,1
26548,5
26565,1
26567,2
26587,3
26591,10
26596,5
26600,284
26605,1414
26607,10
26608,24
26615,56
26641,150
26645,56
26665,5
26670,129
26675,11
26676,2
26685,1
26686,1
26700,522
26705,46
26715,8
26720,243
26725,1779
26727,35
26735,114
26740,16
26742,420
26746,30
26750,185
26755,510
26756,25
26765,146
26770,3872
26775,249
26776,4
26785,43
26841,1
26860,6
26861,2
26862,3
26910,14
26951,221
26952,41
26989,82
26990,14
27000,21
27001,1
27005,1
27025,1
27030,2
27040,1
27041,3
27062,4
27086,1
27087,1
27093,4
27095,2
27096,6
27120,1
27125,8
27130,559
27132,4
27134,14
27137,1
27138,1
27170,2
27176,5
27179,1
27185,1
27187,1
27197,17
27198,2
27217,1
27220,2
27222,11
27230,6
27232,9
27235,32
27236,64
27238,1
27240,4
27244,4
27245,69
27246,3
27248,3
27250,435
27252,153
27253,1
27256,18
27257,50
27258,1
27265,1474
27266,417
27267,1
27268,7
27269,1
27279,3
27280,2
27299,12
27301,105
27303,2
27305,1
27310,18
27323,1
27327,1
27334,6
27339,1
27340,3
27345,1
27350,1
27355,1
27369,2
27372,24
27380,12
27381,1
27385,22
27386,1
27403,7
27405,1
27407,1
27409,1
27412,1
27418,1
27422,2
27425,1
27427,4
27428,2
27430,3
27435,1
27446,33
27447,816
27450,3
27457,1
27465,1
27466,2
27485,1
27486,20
27487,10
27488,1
27500,13
27501,6
27502,65
27503,17
27506,30
27507,7
27508,23
27509,6
27510,40
27511,9
27514,13
27516,1
27519,1
27520,90
27524,43
27530,146
27532,74
27535,24
27536,16
27538,18
27540,7
27550,204
27552,16
27560,1779
27562,84
27566,4
27570,9
27580,2
27590,2
27599,39
27600,3
27601,2
27602,10
27603,27
27604,1
27610,4
27614,1
27618,1
27619,1
27625,2
27650,21
27652,1
27654,1
27658,6
27664,2
27675,1
27680,2
27685,5
27687,12
27691,6
27695,13
27696,1
27698,1
27702,11
27705,2
27707,2
27715,1
27720,3
27725,1
27745,3
27750,122
27752,511
27756,5
27758,26
27759,117
27760,59
27762,217
27766,28
27767,9
27768,49
27769,8
27780,49
27781,123
27784,7
27786,254
27788,797
27792,65
27808,102
27810,1044
27814,100
27816,48
27818,1434
27822,124
27823,25
27824,98
27825,369
27826,1
27827,38
27828,19
27829,71
27830,29
27831,8
27832,2
27840,561
27842,102
27846,2
27848,3
27870,6
27880,2
27882,1
27899,15
28001,3
28002,11
28003,1
28005,1
28008,2
28022,2
28024,2
28039,2
28108,1
28110,1
28111,1
28112,3
28118,2
28119,2
28120,1
28122,1
28124,8
28126,1
28150,1
28160,8
28190,412
28192,41
28193,7
28200,12
28208,14
28210,2
28225,1
28232,1
28238,2
28285,4
28286,1
28288,1
28296,2
28297,3
28298,1
28300,5
28306,1
28308,2
28315,2
28322,1
28341,1
28400,32
28405,11
28415,24
28420,1
28430,22
28435,81
28436,1
28445,11
28450,20
28455,9
28465,4
28470,172
28475,123
28476,13
28485,33
28490,61
28495,130
28496,1
28505,19
28510,71
28515,692
28525,11
28530,1
28540,5
28545,3
28570,7
28575,2
28585,1
28600,19
28605,1
28606,2
28615,4
28630,195
28635,18
28645,2
28660,472
28665,42
28666,1
28675,7
28715,5
28725,11
28730,4
28737,1
28740,6
28750,2
28800,2
28805,12
28810,34
28820,64
28825,43
28899,7
29010,1
29055,5
29065,611
29075,390
29085,79
29086,28
29105,26530
29125,73789
29126,981
29130,19017
29131,499
29240,832
29260,558
29280,551
29305,12
29325,3
29345,236
29355,4
29358,9
29365,5
29405,365
29425,118
29435,1
29440,2
29445,2
29450,3
29505,18313
29515,46061
29520,1
29530,2851
29540,1511
29550,315
29580,44
29581,17
29584,2
29700,47
29705,114
29710,2
29730,3
29740,4
29799,167
29806,1
29807,1
29819,1
29822,5
29823,2
29824,3
29825,1
29826,18
29827,20
29828,9
29834,1
29838,2
29848,1
29851,2
29855,10
29856,2
29861,1
29862,1
29870,1
29871,6
29873,3
29874,2
29876,7
29877,6
29879,1
29880,8
29881,12
29882,5
29883,2
29887,1
29888,12
29889,2
29891,1
29897,1
29898,1
29915,1
29999,6
30000,48
30020,24
30100,2
30110,1
30130,2
30140,5
30300,3837
30310,31
30320,22
30400,3
30410,5
30420,10
30450,2
30460,1
30465,1
30520,21
30580,1
30620,1
30801,1
30901,8317
30903,1425
30905,785
30906,62
30920,1
30930,1
30999,62
31020,1
31030,1
31050,1
31200,1
31231,98
31237,5
31238,83
31240,1
31241,7
31253,2
31254,1
31255,1
31256,7
31259,4
31267,4
31276,3
31287,1
31296,1
31299,1
31500,13180
31502,199
31505,15
31511,9
31515,8
31525,118
31526,5
31528,5
31530,76
31531,4
31535,4
31541,2
31545,1
31570,2
31571,3
31575,747
31576,9
31577,47
31579,5
31599,7
31600,4
31603,10
31605,30
31613,4
31615,15
31622,147
31623,22
31624,107
31625,26
31627,3
31628,20
31629,12
31630,3
31631,1
31632,1
31635,50
31640,4
31641,8
31645,32
31646,1
31652,20
31653,9
31654,12
31720,1495
31725,1
31730,2
31820,4
31899,21
32036,1
32100,33
32110,16
32124,1
32141,1
32160,222
32400,11
32408,128
32480,1
32484,1
32505,1
32506,1
32550,127
32551,1247
32552,19
32554,593
32555,2679
32556,202
32557,136
32560,1
32561,1
32650,2
32654,1
32655,1
32658,1
32666,1
32810,1
32853,1
32940,2
32960,5
32994,1
32997,1
32999,6
33016,61
33017,11
33020,8
33025,2
33206,4
33207,24
33208,467
33210,33
33213,3
33215,16
33216,6
33217,1
33218,2
33220,2
33222,1
33223,1
33224,1
33225,11
33226,3
33227,4
33228,46
33229,6
33233,6
33234,2
33235,5
33240,1
33241,5
33244,3
33249,26
33262,4
33263,6
33264,9
33270,1
33273,1
33274,25
33285,85
33286,14
33289,1
33300,16
33310,1
33320,2
33510,2
33512,1
33534,2
33535,2
33858,1
33880,1
33947,10
33952,11
33967,21
33968,1
33970,1
33990,22
33999,3
34101,2
34111,3
34201,4
34203,4
34490,1
34702,1
34705,3
34710,2
34713,2
35011,1
35045,1
35082,3
35141,1
35184,1
35189,1
35190,13
35201,5
35206,46
35207,22
35216,2
35221,4
35226,48
35236,1
35266,1
35301,10
35302,2
35303,1
35321,1
35355,1
35371,3
35372,2
35556,1
35558,1
35572,2
35702,2
35800,3
35840,8
35860,10
35876,1
35879,2
35903,2
36000,15936
36002,64
36005,30
36010,32
36011,12
36012,18
36013,2
36014,1
36015,3
36140,86
36200,12
36215,31
36216,6
36217,5
36218,1
36221,3
36222,5
36223,7
36224,33
36225,3
36226,30
36227,24
36228,4
36245,33
36246,30
36247,62
36248,17
36251,12
36252,1
36253,3
36299,2
36400,3
36406,10
36410,1466
36415,2298374
36416,14128
36425,49
36430,33926
36440,1
36455,55
36456,6
36460,1
36470,1
36471,1
36475,5
36500,1
36510,4
36512,3
